date,avg_temperature,precipitation,rain_sum,snowfall_sum,shortwave_radiation_sum
2020-02-01,6.1,0.7,0.7,0.0,1.74
2020-02-02,7.1,0.0,0.0,0.0,3.89
2020-02-03,3.1,4.5,4.5,0.0,4.22
2020-02-04,2.6,3.0,3.0,0.0,3.64
2020-02-05,-0.9,12.8,5.2,5.32,1.75
2020-02-06,-1.6,1.6,0.0,1.12,8.16
2020-02-07,-4.7,0.4,0.0,0.35,8.39
2020-02-08,-4.5,0.0,0.0,0.0,7.39
2020-02-09,-1.3,0.0,0.0,0.0,6.25
2020-02-10,1.3,3.2,2.8,0.28,7.23
2020-02-11,2.5,3.0,2.5,0.35,6.38
2020-02-12,1.3,0.4,0.0,0.28,6.1
2020-02-13,0.1,0.7,0.0,0.49,4.11
2020-02-14,0.7,0.0,0.0,0.0,5.45
2020-02-15,1.5,0.0,0.0,0.0,3.22
2020-02-16,2.4,0.0,0.0,0.0,8.46
2020-02-17,4.2,0.0,0.0,0.0,8.77
2020-02-18,4.8,0.0,0.0,0.0,8.31
2020-02-19,3.1,0.0,0.0,0.0,10.14
2020-02-20,3.2,0.7,0.7,0.0,8.14
2020-02-21,2.1,1.0,1.0,0.0,6.85
2020-02-22,2.2,0.1,0.1,0.0,7.11
2020-02-23,5.8,3.1,3.1,0.0,5.97
2020-02-24,3.5,4.2,4.0,0.14,6.67
2020-02-25,2.5,1.2,0.9,0.21,3.34
2020-02-26,6.2,0.3,0.3,0.0,7.51
2020-02-27,2.8,2.5,2.5,0.0,2.99
2020-02-28,1.3,0.8,0.4,0.28,10.45
2020-02-29,1.1,0.1,0.0,0.07,11.39
2020-03-01,3.9,0.2,0.2,0.0,6.85
2020-03-02,5.0,1.7,1.7,0.0,2.66
2020-03-03,8.2,0.0,0.0,0.0,10.02
2020-03-04,11.0,0.0,0.0,0.0,13.11
2020-03-05,6.5,3.0,3.0,0.0,3.73
2020-03-06,6.8,0.3,0.3,0.0,7.65
2020-03-07,7.9,1.2,1.2,0.0,7.64
2020-03-08,7.1,1.0,1.0,0.0,5.62
2020-03-09,7.7,1.8,1.8,0.0,3.84
2020-03-10,6.4,0.4,0.4,0.0,10.85
2020-03-11,6.0,1.3,1.3,0.0,5.84
2020-03-12,10.1,0.0,0.0,0.0,13.57
2020-03-13,7.4,1.5,1.5,0.0,4.41
2020-03-14,3.4,0.0,0.0,0.0,14.23
2020-03-15,-1.5,0.0,0.0,0.0,16.03
2020-03-16,1.1,0.0,0.0,0.0,16.83
2020-03-17,3.5,0.5,0.0,0.35,9.58
2020-03-18,4.4,0.0,0.0,0.0,16.15
2020-03-19,9.9,0.0,0.0,0.0,15.87
